46|Enrico Cantini|1|0|0|0|0|4.0|3||St. Louis|stl|12658149|0|0|2|0|col|27.02.2011|
47|Drago Pulitika|1|0|0|0|0|4.0|1||St. Louis|stl|13379998|0|0|0|0|col|27.02.2011|
48|Kirill Semenov|1|0|0|0|0|4.0|0||St. Louis|stl|12897903|0|0|0|0|col|27.02.2011|
49|Haralds Rodiņš|1|0|0|0|-1|3.5|2||St. Louis|stl|14039830|0|0|0|0|col|27.02.2011|
50|Marek Souček|1|0|0|0|-1|3.4|3||St. Louis|stl|11925396|0|0|0|0|col|27.02.2011|
51|Gustav Josefsson|1|0|0|0|-1|3.5|6||St. Louis|stl|11049845|0|0|0|0|col|27.02.2011|
52|Antti Stenholm|1|0|0|0|0|4.0|1||St. Louis|stl|16612577|0|0|0|0|col|27.02.2011|
53|Kristaps Dzenis|1|1|0|1|0|5.0|2||St. Louis|stl|11226363|0|0|0|0|col|27.02.2011|
54|Carsten Pauly|1|0|0|0|0|3.9|4||St. Louis|stl|15184438|0|0|0|0|col|27.02.2011|
55|Konstantin Davidov|1|0|0|0|0|3.8|1||St. Louis|stl|13456390|0|0|2|0|col|27.02.2011|
56|David Alejandro Quintana|1|0|0|0|0|3.8|1||St. Louis|stl|13194092|0|0|0|0|col|27.02.2011|
57|Dan Ligas|1|0|0|0|-1|3.4|1||St. Louis|stl|15229573|0|0|0|0|col|27.02.2011|
58|Julián Jiménez|1|0|0|0|-1|3.5|1||St. Louis|stl|16241661|0|0|0|0|col|27.02.2011|
59|Petr Kopecký|1|0|0|0|0|4.0|1||St. Louis|stl|11356445|0|0|0|0|col|27.02.2011|
60|Filip Harant|1|0|1|1|0|4.8|1||St. Louis|stl|13404768|0|0|2|0|col|27.02.2011|

1|Martin Chvátal|1|0|0|0|-1|3.6|4||NJ Devils|njd|14904442|0|0|0|0|car|26.02.2011|
2|Marek Májik|1|0|2|2|-1|5.5|3||NJ Devils|njd|18271496|0|0|0|0|car|26.02.2011|
3|Gonzalo Herriaga|1|1|0|1|-1|4.5|3||NJ Devils|njd|14383772|0|0|0|0|car|26.02.2011|
4|Roland Werning|1|1|2|3|1|7.5|3||NJ Devils|njd|18135904|1|0|4|0|car|26.02.2011|
5|Mikita Rat'kovich|1|0|1|1|1|5.5|2||NJ Devils|njd|19369206|0|0|0|0|car|26.02.2011|
6|Igor Klobučník|1|1|0|1|1|5.5|2||NJ Devils|njd|19292622|0|0|0|0|car|26.02.2011|
7|Balbin Żurek|1|0|0|0|1|4.7|1||NJ Devils|njd|14151959|0|0|0|0|car|26.02.2011|
8|Anatoliy Volokhov|1|1|0|1|1|5.5|1||NJ Devils|njd|19355673|0|0|2|0|car|26.02.2011|
9|Rudolf Mišík|1|0|1|1|1|5.7|0||NJ Devils|njd|19293200|0|0|4|0|car|26.02.2011|
10|Béla Zoubek|1|0|1|1|-1|4.5|3||NJ Devils|njd|13616633|0|0|0|0|car|26.02.2011|
11|Jonathan Tanguy|1|0|0|0|-1|3.7|1||NJ Devils|njd|15616758|0|0|2|0|car|26.02.2011|
12|Valdemar Barák|1|1|0|1|1|5.6|1||NJ Devils|njd|15373397|0|0|2|0|car|26.02.2011|
13|Patrik Janík|1|0|0|0|1|4.5|2||NJ Devils|njd|13602157|0|0|0|0|car|26.02.2011|
14|Zacharias Bersnak|1|0|1|1|1|5.7|0||NJ Devils|njd|19221873|0|0|0|0|car|26.02.2011|
15|Elvis Tanyasi|1|0|0|0|1|4.7|0||NJ Devils|njd|19213218|0|0|0|0|car|26.02.2011|
16|Gabriel Green|1|1|0|1|0|5.1|2||Colorado|col|14037449|1|0|0|0|stl|26.02.2011|
17|Richard Groves|1|0|2|2|0|6.1|5||Colorado|col|13440081|0|0|0|0|stl|26.02.2011|
18|Robert Schwarz|1|0|1|1|0|5.2|5||Colorado|col|17167699|0|0|2|0|stl|26.02.2011|
19|Martin Nováček|1|3|1|4|2|9.2|9||Colorado|col|16213283|1|1|0|0|stl|26.02.2011|
20|Potap Borisov|1|1|1|2|2|7.2|5||Colorado|col|17633934|1|0|0|0|stl|26.02.2011|
21|Martin Demeš|1|0|0|0|1|4.7|1||Colorado|col|17129434|0|0|0|0|stl|26.02.2011|
22|Joonas Vuorisalmi|1|0|1|1|-3|3.5|1||Colorado|col|17101176|0|0|0|0|stl|26.02.2011|
23|Jakub Chytil|1|0|0|0|-3|2.5|0||Colorado|col|20111575|0|0|0|0|stl|26.02.2011|
24|Karol Turba|1|1|1|2|-3|4.7|5||Colorado|col|20206284|1|0|0|0|stl|26.02.2011|
25|Artúr Ivanov|1|0|0|0|0|4.0|2||Colorado|col|17158103|0|0|0|0|stl|26.02.2011|
26|David Sýkora|1|0|0|0|1|4.6|1||Colorado|col|17311961|0|0|0|0|stl|26.02.2011|
27|Matej Pecho|1|0|0|0|1|4.5|2||Colorado|col|14338994|0|0|0|0|stl|26.02.2011|
28|Rastislav Jankulár|1|0|0|0|1|4.7|2||Colorado|col|16235623|0|0|2|0|stl|26.02.2011|
29|Eduard Kanareykin|1|0|0|0|-3|2.6|0||Colorado|col|17513436|0|0|0|0|stl|26.02.2011|
30|Mārtiņš Alksnis|1|0|1|1|-2|4.0|1||Colorado|col|14465326|0|0|2|0|stl|26.02.2011|
31|Cyrus Sionko|1|2|0|2|-1|5.5|6||Carolina|car|27589147|1|0|0|0|njd|26.02.2011|
32|Paul Dormann|1|0|0|0|-1|3.4|5||Carolina|car|16221937|0|0|2|0|njd|26.02.2011|
