Ottawa Senators©=GOAL|Toronto Maple Leafs=G_ALLOWED|Protiútoky gól po obstojnej nahrávke - --Jakub Štěpán - 1:0 !!--(Zianon  Kaviarnia, Radek Bednařík)
Minnesota Wild®=PIM|Nashville Predators ™=POWERPLAY|vylúčenie hráča - Adam Bezděk4 proti 5
Nashville Predators ™=GOAL|Minnesota Wild®=G_ALLOWED|--Abrahám Mojžiš - 2:6 !!--PP!! --(Ján Kučera, Norbert Boďo)
Nashville Predators ™=GOAL|Minnesota Wild®=G_ALLOWED|Protiútoky --Matej Murár - 2:7 !!--(Vojtech Dranáč, Ján Kučera)
Nashville Predators ™=PIM|Minnesota Wild®=POWERPLAY|vylúčenie hráča - Vojtech Dranáč4 proti 5
Minnesota Wild®=PIM|Nashville Predators ™=POWERPLAY|vylúčenie hráča - Emil Hvíla4 proti 5
Nashville Predators ™=GOAL|Minnesota Wild®=G_ALLOWED|--Marián Papp - 2:8 !!--PP!!--(Anton Svitek, Vojtech Dranáč)
Minnesota Wild®=PIM|Nashville Predators ™=POWERPLAY|vylúčenie hráča - Riho Kostin4 proti 5
Nashville Predators ™=PIM|Minnesota Wild®=POWERPLAY|vylúčenie hráča - Marek Bednár4 proti 5
Nashville Predators ™=PIM|Minnesota Wild®=POWERPLAY|vylúčenie hráča - Vojmár Penjak3 proti 5
Minnesota Wild®=PIM|Nashville Predators ™=POWERPLAY|vylúčenie hráča - Adam Bezděk4 proti 5
Minnesota Wild®=PIM|Nashville Predators ™=POWERPLAY|vylúčenie hráča - Ramon Makarewicz4 proti 5
Minnesota Wild®=PIM|Nashville Predators ™=POWERPLAY|vylúčenie hráča - Nicola Tafi4 proti 5

