22:20:35 11.02.2013|157.55.32.189|stats.php|&s=34&pos=points&type=po&team=sjs&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:20:35 11.02.2013|157.56.229.186|stats.php|&s=34&pos=defs&type=reg&team=nas&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:19:57 11.02.2013|157.55.32.61|stats.php|&s=34&pos=defs&type=reg&team=dal&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:19:25 11.02.2013|157.55.36.45|stats.php|&s=34&pos=goalies&type=reg&team=nas&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:18:56 11.02.2013|157.55.36.45|stats.php|&s=34&pos=goalies&type=po&team=edm&sort=gaa&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:18:28 11.02.2013|157.55.36.45|stats.php|&s=34&pos=defs&type=reg&team=tor&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:17:56 11.02.2013|65.55.24.233|stats.php|&s=34&pos=goalies&type=reg&team=nyi&sort=gaa&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:17:26 11.02.2013|157.55.33.47|stats.php|&s=34&pos=defs&type=reg&team=nas&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:16:55 11.02.2013|65.55.24.233|stats.php|&s=34&pos=goalies&type=reg&team=njd&sort=shotout&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:16:26 11.02.2013|65.55.24.233|stats.php|&s=34&pos=goalies&type=reg&team=nas&sort=shotout&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:15:59 11.02.2013|65.55.24.233|stats.php|&s=34&pos=goalies&type=reg&team=nas&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:15:26 11.02.2013|65.55.24.233|stats.php|&s=34&pos=goalies&type=reg&team=dal&sort=gaa&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:14:56 11.02.2013|157.55.36.45|stats.php|&s=34&pos=defs&type=reg&team=tor&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:14:39 11.02.2013|66.249.78.214|player_stats.php|&pos=points&name=Dezider Bl--zik&id_player=27687922&s=25||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
22:14:28 11.02.2013|157.55.36.45|stats.php|&s=34&pos=defs&type=reg&team=stl&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:14:20 11.02.2013|66.249.78.211|player_stats.php|&pos=points&name=Haralds Rodi----&id_player=14039830&s=25||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
22:14:15 11.02.2013|66.249.78.211|player_stats.php|&pos=points&name=Benjam--n --ur----k&id_player=13428325&s=26||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
22:14:01 11.02.2013|66.249.75.202|player_stats.php|&pos=goalies&name=Marin Bakalov&id_player=19339743&s=29||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
22:13:57 11.02.2013|157.55.36.45|stats.php|&s=34&pos=defs&type=reg&team=nyi&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:13:40 11.02.2013|157.55.32.58|stats.php|&s=34&pos=defs&type=reg&team=dal&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
22:13:33 11.02.2013|66.249.75.210|player_stats.php|&pos=points&name=J--n Bruncl--k&id_player=29043423&s=27||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
22:13:27 11.02.2013|66.249.78.6|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
