13:03:13 13.02.2013|157.55.32.189|stats.php|&s=11&pos=points&type=reg&team=was&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:02:39 13.02.2013|157.55.32.189|stats.php|&s=11&pos=points&type=reg&team=was&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:02:06 13.02.2013|157.55.33.47|stats.php|&s=31&pos=all&type=reg&team=tor&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:01:37 13.02.2013|157.55.33.47|stats.php|&s=27&pos=defs&type=reg&team=tor&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:01:04 13.02.2013|157.55.32.189|stats.php|&s=11&pos=points&type=reg&team=njd&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:00:42 13.02.2013|157.55.32.189|stats.php|&s=11&pos=points&type=reg&team=col&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
13:00:15 13.02.2013|157.55.32.185|player_stats.php|&pos=points&name=Raitis Holmss&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:59:35 13.02.2013|157.55.33.47|stats.php|&s=04&pos=points&type=po&team=tor&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:59:08 13.02.2013|157.55.33.47|stats.php|&s=03&pos=points&type=reg&team=tor&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
12:58:42 13.02.2013|157.55.33.47|stats.php|&s=03&pos=goalies&type=reg&team=tor&sort=gaa&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
