14:13:54 12.02.2013|66.249.78.219|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:13:34 12.02.2013|157.55.32.190|player_stats.php|&pos=points&name=Constantin Tric--&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:13:31 12.02.2013|66.249.78.176|teams_compare.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:13:22 12.02.2013|66.249.78.196|player_stats.php|&pos=points&name=Hendrik Makke&id_player=8906628&s=35||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:13:21 12.02.2013|66.249.78.176|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:13:16 12.02.2013|66.249.78.201|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:13:10 12.02.2013|157.55.32.190|player_stats.php|&pos=points&name=Branislav Vrubela&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:12:52 12.02.2013|66.249.78.173|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:12:40 12.02.2013|66.249.78.193|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:12:34 12.02.2013|157.55.32.113|player_stats.php|&pos=points&name=Tom---- Rada&id_player=28313421&s=34||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:12:11 12.02.2013|157.55.32.113|player_stats.php|&pos=points&name=Tom---- Gur----k&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:11:44 12.02.2013|66.249.75.49|stats.php|&s=06&pos=points&type=po&team=edm&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:11:43 12.02.2013|66.249.75.24|stats.php|&s=34&pos=goalies&type=reg&team=van&sort=gms&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:11:42 12.02.2013|66.249.75.29|stats.php|&s=34&pos=goalies&type=reg&team=wpg&sort=gms&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:11:39 12.02.2013|66.249.78.37|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:11:29 12.02.2013|157.55.32.113|player_stats.php|&pos=points&name=Christopher Libby&id_player=17105704&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:11:08 12.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Urko Marolt&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:10:39 12.02.2013|157.55.32.190|player_stats.php|&pos=points&name=Bartolomej Surov--&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:10:03 12.02.2013|157.55.32.185|player_stats.php|&pos=points&name=Barna Szil--gyi&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:09:27 12.02.2013|157.55.32.113|player_stats.php|&pos=points&name=Bla--ej Gur----k&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:09:11 12.02.2013|66.249.78.214|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:09:03 12.02.2013|66.249.75.168|stats.php|&s=10&pos=all&type=po&team=van&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:08:57 12.02.2013|157.55.32.113|player_stats.php|&pos=points&name=Birk Sundell&id_player=17175199&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:08:46 12.02.2013|66.249.75.216|stats.php|&s=24&pos=defs&type=reg&team=min&sort=asists&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:08:35 12.02.2013|66.249.78.42|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:08:33 12.02.2013|66.249.78.23|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:08:28 12.02.2013|157.55.32.113|player_stats.php|&pos=points&name=Benjamin Laiho&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:08:25 12.02.2013|66.249.78.217|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:08:14 12.02.2013|66.249.78.27|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:08:10 12.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Tuomo Larsson&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:08:05 12.02.2013|66.249.78.187|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
14:07:40 12.02.2013|157.55.32.113|player_stats.php|&pos=points&name=Benjam--n --ur----k&id_player=13428325&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
14:07:01 12.02.2013|157.55.32.189|player_stats.php|&pos=points&name=Tobias F--rber&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
