19:40:26 11.02.2013|157.55.32.190|stats.php|&s=20&pos=points&type=po&team=car&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:39:55 11.02.2013|157.55.32.190|stats.php|&s=19&pos=points&type=po&team=car&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:39:26 11.02.2013|157.55.32.190|stats.php|&s=17&pos=points&type=po&team=car&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:38:56 11.02.2013|157.55.32.190|stats.php|&s=17&pos=defs&type=reg&team=car&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:38:30 11.02.2013|66.249.75.195|player_stats.php|&pos=points&name=Ken De Wilde&id_player=31177118&s=30||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:38:28 11.02.2013|66.249.78.177|player_stats.php|&pos=points&name=Daniel Ulrich&id_player=30386667&s=31||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:38:28 11.02.2013|157.55.32.190|stats.php|&s=13&pos=points&type=reg&team=buf&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:37:55 11.02.2013|157.55.32.190|stats.php|&s=11&pos=points&type=reg&team=buf&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:37:25 11.02.2013|157.55.32.190|stats.php|&s=11&pos=defs&type=reg&team=buf&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:36:32 11.02.2013|157.55.32.189|stats.php|&s=34&pos=goalies&type=reg&team=lak&sort=mins&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:35:56 11.02.2013|157.55.32.189|stats.php|&s=25&pos=goalies&type=reg&team=lak&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:35:31 11.02.2013|157.55.32.189|stats.php|&s=23&pos=points&type=reg&team=lak&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:35:25 11.02.2013|66.249.75.214|player_stats.php|&pos=points&name=Pravomil Tatarkovi--&id_player=28305909&s=30||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:35:22 11.02.2013|66.249.78.193|player_stats.php|&pos=points&name=Miika Gr--nfors&id_player=21577954&s=30||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:35:17 11.02.2013|66.249.78.210|teams_compare.php|&team1=bos&team2=was||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
19:34:55 11.02.2013|157.55.32.189|stats.php|&s=34&pos=goalies&type=reg&team=lak&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:34:31 11.02.2013|157.55.32.189|stats.php|&s=19&pos=points&type=po&team=lak&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
19:33:56 11.02.2013|157.55.32.189|stats.php|&s=19&pos=defs&type=po&team=lak&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
