07:09:41 13.02.2013|66.249.78.177|pics.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:09:38 13.02.2013|66.249.78.186|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:05:51 13.02.2013|66.249.76.177|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
07:01:10 13.02.2013|66.249.78.166|player_stats.php|&pos=points&name=Klement Coufal&id_player=29216529&s=31||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
06:57:44 13.02.2013|66.249.78.213|teams_stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
06:53:29 13.02.2013|178.154.165.251|magazine_form.php|||Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)| - 
06:44:38 13.02.2013|66.249.78.173|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
06:40:58 13.02.2013|66.249.78.195|news.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
06:37:01 13.02.2013|66.249.78.211|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
06:36:30 13.02.2013|157.55.32.149|stats.php|&s=34&pos=points&type=reg&team=col&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:36:05 13.02.2013|157.55.32.149|stats.php|&s=34&pos=all&type=reg&team=col&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:35:30 13.02.2013|157.55.32.149|stats.php|&s=34&pos=points&type=reg&team=chi&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:35:06 13.02.2013|66.249.78.216|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
06:35:05 13.02.2013|157.55.32.149|stats.php|&s=34&pos=points&type=reg&team=chi&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:34:27 13.02.2013|157.55.32.149|stats.php|&s=allstats&pos=all&type=reg&team=cbj&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:34:02 13.02.2013|157.55.32.149|stats.php|&s=35&pos=all&type=reg&team=cbj&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:33:32 13.02.2013|157.55.32.149|stats.php|&s=34&pos=points&type=reg&team=cbj&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:33:12 13.02.2013|157.55.32.149|stats.php|&s=34&pos=all&type=po&team=cbj&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:32:26 13.02.2013|157.55.32.149|stats.php|&s=34&pos=points&type=reg&team=car&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:32:02 13.02.2013|157.55.32.149|stats.php|&s=34&pos=points&type=reg&team=car&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:31:40 13.02.2013|157.55.32.149|stats.php|&s=34&pos=points&type=reg&team=car&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:31:19 13.02.2013|66.249.76.53|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
06:31:07 13.02.2013|66.249.78.209|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
06:30:32 13.02.2013|157.55.32.149|stats.php|&s=34&pos=points&type=reg&team=buf&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:30:03 13.02.2013|157.55.32.149|stats.php|&s=34&pos=defs&type=reg&team=ana&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:29:13 13.02.2013|157.55.32.149|stats.php|&s=34&pos=points&type=reg&team=van&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:28:33 13.02.2013|157.55.32.149|stats.php|&s=34&pos=points&type=reg&team=tbl&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:27:40 13.02.2013|157.55.32.185|stats.php|&s=34&pos=points&type=reg&team=col&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:26:57 13.02.2013|157.55.32.185|stats.php|&s=34&pos=defs&type=reg&team=col&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:26:39 13.02.2013|157.55.32.185|stats.php|&s=34&pos=all&type=reg&team=chi&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:26:09 13.02.2013|157.55.32.185|stats.php|&s=34&pos=points&type=reg&team=cgy&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:24:57 13.02.2013|157.55.32.58|stats.php|&s=34&pos=points&type=reg&team=col&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:24:33 13.02.2013|157.55.32.58|stats.php|&s=34&pos=all&type=po&team=col&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:24:07 13.02.2013|157.55.32.149|stats.php|&s=34&pos=points&type=reg&team=tbl&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
06:23:38 13.02.2013|157.55.32.149|stats.php|&s=34&pos=points&type=reg&team=stl&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
