04:36:34 12.02.2013|157.55.32.113|stats.php|&s=25&pos=defs&type=reg&team=lak&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:36:03 12.02.2013|65.55.52.119|stats.php|&s=25&pos=defs&type=reg&team=lak&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:35:40 12.02.2013|66.249.78.170|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
04:35:33 12.02.2013|65.55.52.119|stats.php|&s=25&pos=defs&type=reg&team=lak&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:35:04 12.02.2013|65.55.52.119|stats.php|&s=25&pos=defs&type=reg&team=lak&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:34:34 12.02.2013|157.56.93.201|stats.php|&s=11&pos=points&type=reg&team=buf&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:34:04 12.02.2013|157.55.32.113|stats.php|&s=25&pos=defs&type=reg&team=det&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:33:33 12.02.2013|65.55.52.119|stats.php|&s=25&pos=defs&type=reg&team=det&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:33:03 12.02.2013|157.56.229.186|stats.php|&s=19&pos=goalies&type=reg&team=edm&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:32:33 12.02.2013|157.55.32.58|stats.php|&s=21&pos=goalies&type=reg&team=edm&sort=mins&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:32:03 12.02.2013|157.55.32.58|stats.php|&s=25&pos=defs&type=reg&team=was&sort=asists&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:31:33 12.02.2013|65.55.52.119|stats.php|&s=25&pos=defs&type=reg&team=det&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:31:03 12.02.2013|65.55.52.119|stats.php|&s=25&pos=defs&type=reg&team=bos&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:30:33 12.02.2013|157.55.32.58|stats.php|&s=23&pos=points&type=reg&team=van&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:30:03 12.02.2013|157.55.32.58|stats.php|&s=23&pos=points&type=reg&team=van&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:29:33 12.02.2013|157.55.32.58|stats.php|&s=11&pos=points&type=reg&team=buf&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:29:06 12.02.2013|66.249.78.215|player_stats.php|&pos=goalies&name=Bernhard M--ller&id_player=&s=alltime||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
04:29:03 12.02.2013|157.56.229.186|stats.php|&s=25&pos=defs&type=reg&team=nas&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:28:55 12.02.2013|66.249.78.214|player_stats.php|&pos=points&name=Vincent Hordelay&id_player=18750389&s=35||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
