04:30:55 13.02.2013|157.55.32.189|stats.php|&s=03&pos=points&type=reg&team=sjs&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:30:25 13.02.2013|157.55.32.149|stats.php|&s=23&pos=goalies&type=reg&team=ana&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:29:55 13.02.2013|157.55.32.149|stats.php|&s=23&pos=goalies&type=reg&team=ana&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:28:56 13.02.2013|157.55.32.189|stats.php|&s=03&pos=goalies&type=reg&team=sjs&sort=mins&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:28:26 13.02.2013|157.55.32.189|stats.php|&s=03&pos=goalies&type=reg&team=sjs&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:27:56 13.02.2013|157.55.32.149|stats.php|&s=23&pos=defs&type=reg&team=nas&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:27:26 13.02.2013|157.55.32.149|player_stats.php|&pos=points&name=Milanko Levi&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:27:01 13.02.2013|66.249.78.168|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
04:26:55 13.02.2013|157.55.32.189|stats.php|&s=17&pos=defs&type=reg&team=pit&sort=points&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:26:32 13.02.2013|157.55.32.113|player_stats.php|&pos=points&name=Marin Balogovi--&id_player=16004412&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:25:55 13.02.2013|157.55.32.189|stats.php|&s=11&pos=defs&type=po&team=pit&sort=plus&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:25:25 13.02.2013|157.55.32.189|stats.php|&s=03&pos=goalies&type=reg&team=pit&sort=gaa&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:25:04 13.02.2013|157.55.32.61|stats.php|&s=07&pos=points&type=po&team=phx&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:24:30 13.02.2013|157.55.32.61|stats.php|&s=04&pos=points&type=po&team=phx&sort=shg&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:23:55 13.02.2013|157.55.32.189|stats.php|&s=allstats&pos=goalies&type=reg&team=phx&sort=svs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:23:25 13.02.2013|157.55.32.189|stats.php|&s=34&pos=goalies&type=reg&team=phx&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:22:55 13.02.2013|157.56.93.201|stats.php|&s=04&pos=points&type=po&team=pit&sort=pim&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:22:25 13.02.2013|157.56.93.201|stats.php|&s=04&pos=points&type=po&team=pit&sort=goals&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:21:55 13.02.2013|157.55.32.61|stats.php|&s=04&pos=goalies&type=po&team=phx&sort=gaa&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:21:28 13.02.2013|157.55.32.61|stats.php|&s=03&pos=points&type=reg&team=phx&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:20:55 13.02.2013|157.56.93.201|stats.php|&s=34&pos=goalies&type=reg&team=phx&sort=svs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:20:25 13.02.2013|157.56.93.201|stats.php|&s=34&pos=goalies&type=reg&team=phx&sort=shs&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:20:00 13.02.2013|157.55.32.61|stats.php|&s=03&pos=goalies&type=reg&team=phx&sort=mins&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:19:49 13.02.2013|66.249.76.23|schedule.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
04:19:31 13.02.2013|157.55.32.113|player_stats.php|&pos=points&name=Manne Jussinniemi&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:19:00 13.02.2013|157.55.32.113|player_stats.php|&pos=points&name=M--ric Leho----k&id_player=&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:18:34 13.02.2013|157.55.32.61|stats.php|&s=34&pos=goalies&type=reg&team=phi&sort=gms&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:18:02 13.02.2013|157.56.93.201|stats.php|&s=34&pos=goalies&type=reg&team=phx&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:17:36 13.02.2013|157.55.32.149|player_stats.php|&pos=points&name=Mika Merinen&id_player=30822836&s=alltime||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:17:36 13.02.2013|157.55.32.185|stats.php|&s=03&pos=points&type=reg&team=pit&sort=perf&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
04:17:33 13.02.2013|157.55.35.82|stats.php|&s=23&pos=goalies&type=reg&team=lak&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)| - 
