09:35:25 14.02.2013|66.249.78.40|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
09:35:11 14.02.2013|66.249.75.31|stats.php|&s=14&pos=defs&type=reg&team=cbj&sort=gms&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
09:34:52 14.02.2013|66.249.78.214|schedule.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
09:34:12 14.02.2013|66.249.78.187|schedule.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
09:34:00 14.02.2013|66.249.78.193|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
09:33:17 14.02.2013|66.249.78.166|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
09:33:04 14.02.2013|66.249.75.40|teams_stats.php|&s=25&sort1=gd&sort2=ppga||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
09:32:57 14.02.2013|66.249.75.174|stats.php|&s=22&pos=defs&type=reg&team=sjs&sort=&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
09:31:57 14.02.2013|66.249.78.180|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
09:31:20 14.02.2013|66.249.78.178|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
09:30:59 14.02.2013|66.249.78.26|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
09:30:23 14.02.2013|66.249.78.198|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
09:29:55 14.02.2013|66.249.75.180|stats.php|&s=22&pos=defs&type=reg&team=buf&sort=&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
09:29:36 14.02.2013|66.249.78.1|teams_stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
09:29:05 14.02.2013|66.249.75.166|stats.php|&s=24&pos=defs&type=po&team=car&sort=ppg&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
09:29:03 14.02.2013|66.249.78.170|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
09:28:54 14.02.2013|66.249.75.51|teams_stats.php|&s=25&sort1=sf&sort2=pk_perc||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
09:28:42 14.02.2013|66.249.75.188|schedule.php|&s=19&type=reg&team=mtl||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
09:28:25 14.02.2013|66.249.78.176|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
09:27:56 14.02.2013|66.249.75.194|stats.php|&s=12&pos=all&type=reg&team=tbl&sort=svs_perc&page=&active=all||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
09:26:56 14.02.2013|66.249.78.217|stats.phpchuj|chuj||Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)| - 
